	article_id	article_auteur	article_section	article_titre	article_page	revue_annee	revue_numero	chapitre	article_SPE_seance
1831	BSPE-1917-489	BAZIN	Communication	Un microtome simple et économique.	489	1917	10	Séance du 13 juin 1917. Communications. Expérience de lutte antiophtalmique en milieu indigène algérien (1914), par Edmond Sergent et Etienne Sergent. (Institut Pasteur d'Algérie.). / Un microtome simple et économique, par le Dr Bazin	13 juin 1917
1832	BSPE-1917-492	LÉGER (Marcel)	Mémoire	Considérations hématologiques sur deux cas d’accès pernicieux à Plasmodium pæecox, traités par la quinine.	492	1917	10	Séance du 13 juin 1917. Mémoires. Considérations hématologiques sur deux cas d'accès pernicieux comateux à Plasmodium praecox, traités par la quinine, par Marcel Leger	13 juin 1917
1833	BSPE-1917-501	DELANOË (P.)	Mémoire	Contribution l’étude du pouvoir pathogène du Trypanosome de Mazagan.	501	1917	10	Séance du 13 juin 1917. Mémoires. Considérations hématologiques sur deux cas d'accès pernicieux comateux à Plasmodium praecox, traités par la quinine, par Marcel Leger. (Institut d'hygiène de Cayenne, Guyane Française.). / Contribution à l'étude du pouvoir pathogène du trypanosome de Mazagan, par P. Delanoë	13 juin 1917
1834	BSPE-1917-512	CHALMERS (A.J.), PEKKOLA (W.)	Mémoire	A Sudanese Dermatitis Venenata.	512	1917	10	Séance du 13 juin 1917. Mémoires. Contribution à l'étude du pouvoir pathogène du trypanosome de Mazagan, par P. Delanoë. (Travail du laboratoire du groupe sanitaire mobile des Doukkala Abda.). / A Sudanese dermatitis Venenata, by Albert J. Charlmers... and Waino Pekkola.	13 juin 1917
1835	BSPE-1917-521	GROS (H.)	Communication	Contribution à l’étude des conjonctivites en Algérie.	521	1917	10	Séance du 11 juillet 1917. Communications. Contribution à l'étude des conjonctivites en Algérie, par H. Gros	11 juillet 1917
1836	BSPE-1917-526	NICOLLE (CHARLES)	Communication	Cent passages successifs du virus exanthémati- que par cobayes.	526	1917	10	Séance du 11 juillet 1917. Communications. Contribution à l'étude des conjonctivites en Algérie, par H. Gros. / Cent passages successifs du virus exanthématique par cobayes, par Charles Nicolle	11 juillet 1917
1837	BSPE-1917-528	LÉGER (Marcel), MOUZELS (P.), RYCKEWAERT (P.)	Communication	Le Pian à la Guyane Française.	528	1917	10	Séance du 11 juillet 1917. Communications. Cent passages successifs du virus exanthématique par cobayes, par Charles Nicolle. (Institut Pasteur de Tunis.). / Le pian à la Guyane Française, par M. Leger, P. Mouzels et P. Ryckewaert	11 juillet 1917
1838	BSPE-1917-532	POROT (A.)	Communication	Délire et réactions psychomotrices dans la fièvre récurrente de l’indigène.	532	1917	10	Séance du 11 juillet 1917. Communications. Le pian à la Guyane Française, par M. Leger, P. Mouzels et P. Ryckewaert. (Institut d'hygiène et Hôpital colonial de Cayenne.). / Délire et réactions psychomotrices dans la fièvre récurrente de l'indigène. Par A. Porot	11 juillet 1917
1839	BSPE-1917-536	MATHIS (C.), MERCIER (L.)	Communication	Le soi-disant chromidium des kystes des enta- mibes intestinales de l’homme.	536	1917	10	Séance du 11 juillet 1917. Communications. Délire et réactions psychomotrices dans la fièvre récurrente de l'indigène. Par A. Porot. (Centre Neuro-Psychiâtrique d'Alger.). / Le soi-disant Chromidium des kystes des entamibes intestinales de l'homme, par C. Mathis et L. Mercier	11 juillet 1917
1840	BSPE-1917-539	MARTY (L.)	Communication	Emétine et Amœba coli. 	539	1917	10	Séance du 11 juillet 1917. Communications. Emétine et Amoeba coli. Observation, par L. Marty	11 juillet 1917
1841	BSPE-1917-540	SENEVET (G.)	Communication	Note sur un procédé de coloration de l’hémato- zoaire du paludisme.	540	1917	10	Séance du 11 juillet 1917. Communications. Emétine et Amoeba coli. Observation, par L. Marty. / Note sur un procédé de coloration de l'hématozoaire du paludisme, par G. Senevet	11 juillet 1917
1842	BSPE-1917-542	DELANOË (P.)	Communication	Sur les altérations des globules parasités par les hématozoaires du paludisme.	542	1917	10	Séance du 11 juillet 1917. Communications. Note sur un procédé de coloration de l'hématozoaire du paludisme, par G. Senevet. / Sur les altérations des globules parasités par les hématozoaires du paludisme, par P. Delanoë	11 juillet 1917
1843	BSPE-1917-548	SERGENT (ÉT.)	Communication	Les enseignements d’une année d’épidémie foudroyante de paludisme dans la Mitidja (Algérie). 	548	1917	10	Séance du 11 juillet 1917. Communications. Les enseignements d'une année d'épidémie foudroyante de paludisme dans la Mitidja (Algérie), par Etienne Sergent	11 juillet 1917
1844	BSPE-1917-550	SERGENT (ÉT.), HEMPL (H.)	Communication	Sur l’immunité dans le paludisme des oiseaux (Proteosoma vel Plasmodium relictum Grassi et Feletti).	550	1917	10	Séance du 11 juillet 1917. Communications. Les enseignements d'une année d'épidémie foudroyante de paludisme dans la Mitidja (Algérie), par Etienne Sergent. (Institut Pasteur d'Algérie.). / Sur l'immunité dans le paludisme des oiseaux (Proteosoma vel Plasmodium relictum Grassi et Feletti), par Etienne Sergent et Miss H. Hempl	11 juillet 1917
1845	BSPE-1917-553	ESCOMEL (E.)	Communication	Quelques remarques à propos des trichomona- ses intestinale et vaginale.	553	1917	10	Séance du 11 juillet 1917. Communications. Quelques remarques à propos des trichomoniases intestinale et vaginale, par E. Escomel	11 juillet 1917
1846	BSPE-1917-557	LÉGER (Marcel)	Communication	Parasitisme intestinal à la Guyane française dans la population locale et dans l’élément pénal. 	557	1917	10	Séance du 11 juillet 1917. Communications. Quelques remarques à propos des trichomoniases intestinale et vaginale, par E. Escomel. / Parasitisme intestinal à la Guyane Française dans la population locale et dans l'élément pénal, par Marcel Leger	11 juillet 1917
1847	BSPE-1917-560	CLAPIER (N.)	Communication	Note sur le parasitisme intestinal par les Nématodes dans la zone frontière du Libéria et de la Guinée.	560	1917	10	Séance du 11 juillet 1917. Communications. Parasitisme intestinal à la Guyane Française dans la population locale et dans l'élément pénal, par Marcel Leger. (Institut d'hygiène de Cayenne.). / Notes sur le parasitisme intestinal par les Nématodes dans la zone frontière du Liberia et de la Guinée, par N. Clapier	11 juillet 1917
1848	BSPE-1917-564	PARROT (L.)	Communication	Sur un nouveau Phlébotome algérien, Phlebotomus sergenti sp. nov. (Note préliminaire) 	564	1917	10	Séance du 11 juillet 1917. Communications. Sur un nouveau Phlébotome algérien Phlebotomus sergenti, sp. nov. (Note préliminaire), par L. Parrot	11 juillet 1917
1849	BSPE-1917-568	COMMES (CH.)	Mémoire	Les méningites dans la région de Bamako (Soudan Français).	568	1917	10	Séance du 11 juillet 1917. Mémoires. Les méningites dans la région de Bamako (Soudan Français), par Ch. Commes	11 juillet 1917
1850	BSPE-1917-575	SERGENT (EDM.), ROIG (G.)	Mémoire	Sur l’existence de l’agalaxie contagieuse des chèvres en Algérie, et sur une infection surajoutée. 	575	1917	10	Séance du 11 juillet 1917. Mémoires. Les méningites dans la région de Bamako (Soudan Français), par Ch. Commes. [Travail du laboratoire de Bamako (Haut-Sénégal-Niger).]. / Sur l'existence de l'agalaxie contagieuse des chèvres en Algérie, et sur une infection surajoutée, par Edm. Sergent et G. Roig	11 juillet 1917
1851	BSPE-1917-586	DELANOË (P.)	Mémoire	Contribution à l’étude du paludisme au Maroc Occidental.	586	1917	10	Séance du 11 juillet 1917. Mémoires. Contribution à l'étude du paludisme au Maroc Occidental. I. L'épidémie palustre des Oulad Hassoun, par P. Delanoë. I. L'épidémie palustre des Oulad Hassoun (août-septembre 1915)	11 juillet 1917
1852	BSPE-1917-611	AUBERT (P.)	Mémoire	Amibiase à l’Armée d’Orient.	611	1917	10	Séance du 11 juillet 1917. Mémoires. Contribution à l'étude du paludisme au Maroc Occidental. I. L'épidémie palustre des Oulad Hassoun, par P. Delanoë. Conclusions générales. (Travail du groupe sanitaire mobile des Doukkala-Abda.). / Amibiase à l'armée d'Orient, par P. Aubert.	11 juillet 1917
1853	BSPE-1917-629	ROUBAUD (É.)	Mémoire	Histoire d’un élevage de Glossina morsitans à l’Institut Pasteur de Paris.	629	1917	10	Séance du 11 juillet 1917. Mémoires. Amibiase à l'armée d'Orient, par P. Aubert... Conclusions. / Histoire d'un élevage de Glossina morsitans à l'Institut Pasteur de Paris, par E. Roubaud	11 juillet 1917
1854	BSPE-1917-640	BLANCHARD (Raphael)	Mémoire	Monographie des Hémadipsines (Sangsues ter- restres).	640	1917	10	Séance du 11 juillet 1917. Mémoires. Histoire d'un élevage de Glossina morsitans à l'Institut Pasteur de Paris, par E. Roubaud. / Monographie des Hémadipsines (Sangsues terrestres), par R. Blanchard. (Planche VII)	11 juillet 1917
1855	BSPE-1917-681	VELU (H.)	Communication	Nouvelles recherches sur la Pyothérapie de la lymphangite épizootique.	681	1917	10	Séance du 10 octobre 1917. Communications. Nouvelles recherches sur la pyothérapie de la lymphangite épizootique, par H. Velu	10 octobre 1917
1856	BSPE-1917-684	STÉVENEL (L.)	Communication	Essais de traitement de la lèpre par des injections intraveineuses d’émulsion d’huile de Chaulmoogra.	684	1917	10	Séance du 10 octobre 1917. Communications. Nouvelles recherches sur la pyothérapie de la lymphangite épizootique, par H. Velu. (Travail du laboratoire de recherches du Service de l'élevage à Casablanca.). / Essais de traitement de la lèpre par des injections intraveineuses d'émulsion d'huile de Chaulmoogra, par L. Stévenel	10 octobre 1917
1857	BSPE-1917-688	VAN DEN BRANDEN (F.)	Communication	Syphilides psoriasiformes confluentes chez un Noir.	688	1917	10	Séance du 10 octobre 1917. Communications. Syphilides psoriasiformes confluentes chez un Noir, par F. Van den Branden	10 octobre 1917
1858	BSPE-1917-689	SULDEY (E.W.)	Communication	Épidémie de méningite cérébro-spinale à méningocoques (?) à Madagascar.	689	1917	10	Séance du 10 octobre 1917. Communications. Syphilides psoriasiformes confluentes chez un Noir, par F. Van den Branden. / Epidémie de méningite cérébro-spinale à méningocoques ( ?) à Madagascar, par E.-W. Suldey	10 octobre 1917
1859	BSPE-1917-692	PARROT (L.)	Communication	Du délire et des réactions psychomotrices dans la fièvre récurrente algérienne.	692	1917	10	Séance du 10 octobre 1917. Communications. Epidémie de méningite cérébro-spinale à méningocoques ( ?) à Madagascar, par E.-W. Suldey. / Du délire et des réactions psychomotrices dans la fièvre récurrente algérienne, par L. Parrot	10 octobre 1917
1860	BSPE-1917-694	LÉGER (A.), LE GALLEN (R.)	Communication	Étude expérimentale du pouvoir pathogène de Spirochæta crociduræ.	694	1917	10	Séance du 10 octobre 1917. Communications. Du délire et des réactions psychomotrices dans la fièvre récurrente algérienne, par L. Parrot. (Institut Pasteur d'Algérie.). / Étude expérimentale du pouvoir pathogène de Spirochaeta crocidurae, par André Leger et R. Le Gallen	10 octobre 1917
1861	BSPE-1917-696	MOREAU (L.)	Communication	Sur un cas d’amibiase hépatique autochtone. Abcès du lobe gauche. Intervention chirurgicale. Guérison. 	696	1917	10	Séance du 10 octobre 1917. Communications. Étude expérimentale du pouvoir pathogène de Spirochaeta crocidurae, par André Leger et R. Le Gallen. (Laboratoire de bactériologie de l'Afrique Occidentale Française.). / Sur un cas d'amibiase hépatique autochtone. Abcès du lobe gauche. Intervention chirurgicale. Guérison. Par Laurent Moreau	10 octobre 1917
1862	BSPE-1917-699	LÉGER (Marcel), MOUZELS (P.)	Communication	Hématozoaire endoglobulaire non pigmenté d’une Anatidée.	699	1917	10	Séance du 10 octobre 1917. Communications. Hématozoaire endoglobulaire non pigmenté d'une Anatidée, par M. Leger et P. Mouzels	10 octobre 1917
1863	BSPE-1917-701	SERGENT (ÉT.)	Communication	Sur un Leucocytozoon de la perdrix rouge d’Al- gérie (Perdix rubra Brisson).	701	1917	10	Séance du 10 octobre 1917. Communications. Sur un Leucocytozoon de la perdrix rouge d'Algérie (Perdix rubra Brisson), par Etienne Sergent	10 octobre 1917
1864	BSPE-1917-702	ROUBAUD (É.)	Communication	Méthodes rapides pour les examens de sang paludéen en goutte épaisse.	702	1917	10	Séance du 10 octobre 1917. Communications. Sur un Leucocytozoon de la perdrix rouge d'Algérie (Perdix rubra Brisson), par Etienne Sergent. (Institut Pasteur d'Algérie.). / Méthodes rapides pour les examens de sang paludéen en goutte épaisse, par E. Roubaud	10 octobre 1917
1865	BSPE-1917-704	RODHAIN (J.), VAN DEN BRANDEN (F.)	Communication	Essais de transmission des parasites de la mala- ria à la roussette, Cynonycteris straminea.(Note préliminaire)	704	1917	10	Séance du 10 octobre 1917. Communications. Essais de transmission des parasites de la malaria à la roussette, Cynonycteris straminea. Note préliminaire, par J. Rodhain et F. Van den Branden	10 octobre 1917
1866	BSPE-1917-706	ROUBAUD (É.)	Communication	Nouveau cas de paludisme contracté sur le front français.	706	1917	10	Séance du 10 octobre 1917. Communications. Essais de transmission des parasites de la malaria à la roussette, Cynonycteris straminea. Note préliminaire, par J. Rodhain et F. Van den Branden. / Nouveau cas de paludisme contracté sur le front français, par E. Roubaud	10 octobre 1917
1867	BSPE-1917-707	LAMOUREUX (A.)	Communication	Le paludisme autochtone de la région du Lac Presba (Albanie du Sud).	707	1917	10	Séance du 10 octobre 1917. Communications. Le paludisme autochtone de la région du Lac Presba (Albanie du sud), par A. Lamoureux	10 octobre 1917
1868	BSPE-1917-710	ANFREVILLE (Leon, d’)	Communication	La lutte antipaludéenne à Salé (Maroc).	710	1917	10	Séance du 10 octobre 1917. Communications. Le paludisme autochtone de la région du Lac Presba (Albanie du sud), par A. Lamoureux. / La lutte antipaludéenne à Salé, Maroc, par L. d'Anfreville	10 octobre 1917
1869	BSPE-1917-715	NICOLLE (CHARLES)	Communication	Chronique du kala-azar en Tunisie.	715	1917	10	Séance du 10 octobre 1917. Communications. La lutte antipaludéenne à Salé, Maroc, par L. d'Anfreville. / Chronique du Kala-Azar en Tunisie, par Charles Nicolle	10 octobre 1917
1870	BSPE-1917-719	GREGGIO (Père G.)	Communication	Quelques observations sur la durée moyenne de vie des trypanosés en traitement.	719	1917	10	Séance du 10 octobre 1917. Communications. Chronique du Kala-Azar en Tunisie, par Charles. Nicolle Kala-azar humain. (Institut Pasteur de Tunis.). / Quelques observations sur la durée moyenne de vie des trypanosés en traitement, par le Père G. Greggio	10 octobre 1917
1871	BSPE-1917-723	STEFKO (W.)	Communication	Piroplasmose et anaplasmose en Turquie (1916).	723	1917	10	Séance du 10 octobre 1917. Communications. Quelques observations sur la durée moyenne de vie des trypanosés en traitement, par le Père G. Greggio. / Piroplasmose et Anaplasmose en Turquie (1916), par W. Stefko	10 octobre 1917
1872	BSPE-1917-724	STEFKO (W.)	Communication	Dengue à Trébizonde (Turquie) en 1916.	724	1917	10	Séance du 10 octobre 1917. Communications. Piroplasmose et Anaplasmose en Turquie (1916), par W. Stefko. / Dengue à Trébizonde (Turquie) en 1916, par W. Stefko. / Deux cas de bubon climatérique, par W. Stefko	10 octobre 1917
1874	BSPE-1917-725	BLANCHARD (M.)	Communication	Un cas d’Œrbiss, ou pseudo myiase rampante, à Grand-Bassam (Côte d’Ivoire).	725	1917	10	Séance du 10 octobre 1917. Communications. Deux cas de bubon climatérique, par W. Stefko. / Un cas d'Oerbiss ou pseudo myiase rampante à Grand-Bassam (Côte d'Ivoire), par M. Blanchard	10 octobre 1917
1875	BSPE-1917-726	VAN SACEGHEM (R.)	Communication	Contribution à l’étude de la dermite granuleuse des Équidés.	726	1917	10	Séance du 10 octobre 1917. Communications. Un cas d'Oerbiss ou pseudo myiase rampante à Grand-Bassam (Côte d'Ivoire), par M. Blanchard. (Laboratoire de Grand-Bassam.). / Contribution à l'étude de la dermite granuleuse des équidés, par R. Van Saceghem	10 octobre 1917
1876	BSPE-1917-730	COMMES (CH.)	Communication	L’eau du Niger et l’helminthiase intestinale.	730	1917	10	Séance du 10 octobre 1917. Communications. L'eau du Niger et l'helminthiase intestinale, par Ch. Commes	10 octobre 1917
1877	BSPE-1917-731	VAN DEN BRANDEN (F.)	Communication	La roussette, Cynonycteris straminea, animal de laboratoire.	731	1917	10	Séance du 10 octobre 1917. Communications. L'eau du Niger et l'helminthiase intestinale, par Ch. Commes. (Laboratoire de Bamako, Haut-Sénégal-Niger.). / Lar roussette, Cynonycteris straminea, animal de laboratoire. Par F. Van Den Branden	10 octobre 1917
1878	BSPE-1917-733	LÉGER (Marcel)	Mémoire	La lèpre à la Guyane française et ses réglemen- tations successives.	733	1917	10	Séance du 10 octobre 1917. Mémoires. La lèpre à la Guyane Française et ses réglementations successives, par Marcel Leger	10 octobre 1917
1879	BSPE-1917-749	LÉGER (Marcel)	Mémoire	Le paludisme à la Guyane française : index endémique des diverses localités.	749	1917	10	Séance du 10 octobre 1917. Mémoires. La lèpre à la Guyane Française et ses réglementations successives, par Marcel Leger. (Institut d'hygiène de Cayenne.). / Le paludisme à la Guyane Française : Index endémique des diverses localités, par Marcel Leger	10 octobre 1917
1880	BSPE-1917-756	CHALMERS (A.J.), PEKKOLA (W.)	Mémoire	Enteromonas hominis da Fonseca 1915 in a British Officer.	756	1917	10	Séance du 10 octobre 1917. Mémoires. Le paludisme à la Guyane Française : Index endémique des diverses localités, par Marcel Leger. (Institut d'hygiène de Cayenne.). / Enteromonas hominis da Fonseca 1915 in British Officer, by Albert J. Chalmers... and Waino Pekkola.	10 octobre 1917
1881	BSPE-1917-762	JEMMA (R.)	Mémoire	Courte notice historique sur l’emploi de l’anti- moine dans le traitement de la leishmaniose interne. 	762	1917	10	Séance du 10 octobre 1917. Mémoires. Courte notice historique sur l'emploi de l'antimoine dans le traitement de la leishmaniose interne, par le Prof. R. Jemma.	10 octobre 1917
1882	BSPE-1917-774	JOUIN (A.)	Communication	De la gravité de la pneumonie chez les Noirs, les Malgaches et la fréquence de la mort subite au cours de cette affection par dilatation cardiaque aiguë consécutive à une paralysie des centres ner- veux du cœur.	774	1917	10	Séance du 10 novembre 1917. Communications. De la gravité de la pneumonie chez les Noirs, les Malgaches et de la fréquence de la mort subite au cours de cette affection par dilatation cardiaque aiguë consécutive à une paralysie des centres nerveux du coeur. Par A. Jouin	10 novembre 1917
1883	BSPE-1917-778	LÉGER (Marcel)	Communication	La tuberculose à la Guyane française.	778	1917	10	Séance du 10 novembre 1917. Communications. La tuberculose à la Guyane Française, par Marcel Leger	10 novembre 1917
1884	BSPE-1917-784	VIOLLE (H.)	Communication	Sur un cas de pian observé en France.	784	1917	10	Séance du 10 novembre 1917. Communications. La tuberculose à la Guyane Française, par Marcel Leger. (Institut d'hygiène de Cayenne.). / Sur un cas de pian observé en France, par H. Violle	10 novembre 1917
1885	BSPE-1917-786	VAN HOOF (L.)	Communication	Note préliminaire sur la fièvre récurrente parmi les troupes belges dans l’Est africain allemand.	786	1917	10	Séance du 10 novembre 1917. Communications. Sur un cas de pian observé en France, par H. Violle. / Note préliminaire sur la fièvre récurrente parmi les troupes belges dans l'Est Africain Allemand, par L. Van Hoof	10 novembre 1917
1886	BSPE-1917-791	CHATTON (Edouard)	Communication	Au sujet des Cristalloïdes (Chromidium, corps chromatoïdes, bâtonnets ou plages sidérophiles) des kystes d’Entamibes.	791	1917	10	Séance du 10 novembre 1917. Communications. Note préliminaire sur la fièvre récurrente parmi les troupes belges dans l'Est Africain Allemand, par L. Van Hoof. Au sujet des cristalloïdes (Chromidium, corps chromatoïdes, bâtonnets ou plages sidérophiles) des kystes d'Entamibes, par Edouard Chatton	10 novembre 1917
1887	BSPE-1917-794	CHATTON (Edouard)	Communication	Réalisation expérimentale chez le cobaye de l’amibiase intestinale à Entamœba dysenteriæ. 	794	1917	10	Séance du 10 novembre 1917. Communications. Au sujet des cristalloïdes (Chromidium, corps chromatoïdes, bâtonnets ou plages sidérophiles) des kystes d'Entamibes, par Edouard Chatton. / Réalisation expérimentale chez le cobaye de l'amibiase intestinale à Entamoeba dysenteriae, par Edouard Chatton	10 novembre 1917
1888	BSPE-1917-799	BRUG (S.-L.)	Communication	Les kystes des amibes intestinales de l’homme.	799	1917	10	Séance du 10 novembre 1917. Communications. Réalisation expérimentale chez le cobaye de l'amibiase intestinale à Entamoeba dysenteriae, par Edouard Chatton. / Les kystes des amibes intestinales de l'homme, par S. L. Brug	10 novembre 1917
1889	BSPE-1917-804	BLANC (G.)	Communication	Au sujet du paludisme autochtone de la région du lac Presba. Note complémentaire.	804	1917	10	Séance du 10 novembre 1917. Communications. Au sujet du paludisme autochtone de la région du Lac Presba. (Note complémentaire), par G. Blanc	10 novembre 1917
1890	BSPE-1917-805	MALLOIZEL(), BONNARD	Communication	Note sur le paludisme autochtone dans la pres- qu’île de Langle (golfe du Morbihan).	805	1917	10	Séance du 10 novembre 1917. Communications. Note sur le paludisme autochtone dans la presqu'île de Langle (Golfe du Morbihan), par Malloizel et Bonnard. (Service d'hygiène de la XIe région et laboratoire militaire de bactériologie de Vannes.)	10 novembre 1917
1891	BSPE-1917-806	MARTY (L.)	Communication	Craw-craw et Leishmania. 	806	1917	10	Séance du 10 novembre 1917. Communications. Craw-craw et Leishmania, par L. Marty	10 novembre 1917
1892	BSPE-1917-808	KÉRANDEL (J.)	Discussion	Craw-craw et Leishmania. (Discussion) 	808	1917	10	Séance du 10 novembre 1917. Communications. Craw-craw et Leishmania, par L. Marty	10 novembre 1917
1893	BSPE-1917-811	RODHAIN (J.), VAN DEN BRANDEN (F.)	Communication	Essais sur la pluralité des espèces flagellées parasitant le tube digestif des Invertébrés. Note pré- liminaire.	811	1917	10	Séance du 10 novembre 1917. Communications. Craw-craw et Leishmania, par L. Marty. / Essais sur la pluralité des espèces flagellées parasitant le tube digestif des invertébrés. Note préliminaire, par J. Rodhain et F. Van den Branden	10 novembre 1917
1894	BSPE-1917-814	BOUFFARD (Gustave)	Communication	Chéloïde géante chez un indigène du Dahomey.	814	1917	10	Séance du 10 novembre 1917. Communications. Essais sur la pluralité des espèces flagellées parasitant le tube digestif des invertébrés. Note préliminaire, par J. Rodhain et F. Van den Branden. (Laboratoire de Léopoldville, le 29 juin 1917.). / Chéloïde géante chez un indigène du Dahomey, par G. Bouffard	10 novembre 1917
1895	BSPE-1917-816	BAUJEAN (R.)	Mémoire	Note sur quelques manifestations de la Pneumococcie chez les tirailleurs des Camps de Fréjus et Saint-Raphaël.	816	1917	10	Séance du 10 novembre 1917. Mémoires. Notes sur quelques manifestations de la pneumococcie chez les tirailleurs des Camps de Fréjus et Saint-Raphaël, par R. Baujean	10 novembre 1917
1896	BSPE-1917-827	DUCHAMP (J.-C.)	Mémoire	Contribution à la pathologie des Balkans. La fièvre spirochéto-plasmodique des Serbes.	827	1917	10	Séance du 10 novembre 1917. Mémoires. Notes sur quelques manifestations de la pneumococcie chez les tirailleurs des Camps de Fréjus et Saint-Raphaël, par R. Baujean. (Laboratoire de bactériologie des Camps de Fréjus et de Saint-Raphaël.). / Contribution à la pathologie des Balkans. La fièvre spirochéto-plasmodique des Serbes, par le Dr J.-C. Duchamp.	10 novembre 1917
1897	BSPE-1917-834	CHATTON (Edouard)	Mémoire	L’éclosion des kystes et les premiers stades de l’évolution de l’amibe dysentérique humaine chez le chat.	834	1917	10	Séance du 10 novembre 1917. Mémoires. Contribution à la pathologie des Balkans. La fièvre spirochéto-plasmodique des Serbes, par le Dr J.-C. Duchamp... / L'éclosion des kystes et les premiers stades de l'évolution de l'amibe dysentérique humaine chez le chat, par Edouard Chatton	10 novembre 1917
1898	BSPE-1917-841	CHATTON (Edouard)	Mémoire	La genèse des stigmates globulaires (taches de Maurer, grains de Schüffner) dans le paludisme. Leurs rapports avec l’amœboïsme hémamibien. Leur faible valeur différentielle.	841	1917	10	Séance du 10 novembre 1917. Mémoires. L'éclosion des kystes et les premiers stades de l'évolution de l'amibe dysentérique humaine chez le chat, par Edouard Chatton. / La genèse des stigmates globulaires [taches de Maurer, grains de Schüffner] dans le paludisme. Leurs rapports avec l'amoeboïsme hémamibien. Leur faible valeur différentielle, par Edouard Chatton. (Planche VIII)	10 novembre 1917
1899	BSPE-1917-850	LAVERAN (Alphonse)	Mémoire	Identification des virus de trypanosomiase équi- ne marocaine de deux origines.	850	1917	10	Séance du 10 novembre 1917. Mémoires. Identification des virus de trypanosomiase équine marocaine de deux origines, par A. Laveran	10 novembre 1917
1900	BSPE-1917-860	PARROT (L.)	Communication	L’infection tuberculeuse dans le Hodna Oriental (Steppe Constantinois).	860	1917	10	Séance du 12 décembre 1917. Communications. Infection tuberculeuse dans le Hodna Oriental (Steppe Constantinois), par L. Parrot	12 décembre 1917
1901	BSPE-1917-863	DA MATTA (A.)	Communication	La tréponémose de Castellani (Boubas), son traitement par les arsenicaux et l’émétique.	863	1917	10	Séance du 12 décembre 1917. Communications. Infection tuberculeuse dans le Hodna Oriental (Steppe Constantinois), par L. Parrot. (Institut Pasteur d'Algérie.). / La tréponémose de Castellani (Boubas) et son traitement par les arsenicaux et l'émétique, par Alfr. da Matta	12 décembre 1917
1902	BSPE-1917-866	MATHIS (C.), MERCIER (L.)	Communication	À propos du soi-disant chromidium des kystes des Entamibes.	866	1917	10	Séance du 12 décembre 1917. Communications. A propos du soi-disant chromidium des kystes des entamibes, par C. Mathis et L. Mercier	12 décembre 1917
1903	BSPE-1917-868	NOC (F.)	Communication	Prophylaxie de l’amibiase intestinale par l’ipéca total glutinisé.	868	1917	10	Séance du 12 décembre 1917. Communications. A propos du soi-disant chromidium des kystes des entamibes, par C. Mathis et L. Mercier. / Prophylaxie de l'amibiase intestinale par l'ipéca total glutinisé, par F. Noc	12 décembre 1917
1904	BSPE-1917-871	SCHEIN (H.)	Communication	Piroplasmose du cheval dans le Sud Annam.	871	1917	10	Séance du 12 décembre 1917. Communications. Piroplasmose du cheval dans le Sud Annam, par Herni Schein	12 décembre 1917
1905	BSPE-1917-873	ESCOMEL (E.)	Communication	Le Phtyllodactylus gerrhopygus au Pérou. Son infection par une hémogrégarine.	873	1917	10	Séance du 12 décembre 1917. Communications. Piroplasmose du cheval dans le Sud Annam, par Herni Schein. / Le Phyllodactylus gerrhopygus au Pérou. Son infection par une hémogrégarine, par E. Escomel	12 décembre 1917
1906	BSPE-1917-878	LAVERAN (Alphonse)	Discussion	Le Phtyllodactylus gerrhopygus au Pérou. Son infection par une hémogrégarine. (Discussion) 	878	1917	10	Séance du 12 décembre 1917. Communications. Le Phyllodactylus gerrhopygus au Pérou. Son infection par une hémogrégarine, par E. Escomel	12 décembre 1917
1907	BSPE-1917-879	LÉGER (Marcel), RYCKEWAERT (P.)	Communication	Hématozoaire de la fièvre quarte et accès perni- cieux mortel.	879	1917	10	Séance du 12 décembre 1917. Communications. Le Phyllodactylus gerrhopygus au Pérou. Son infection par une hémogrégarine, par E. Escomel. / Hématozoaire de la fièvre quarte et accès pernicieux mortel, par M. Leger et P. Ryckewaert	12 décembre 1917
1908	BSPE-1917-883	LAGRIFFOUL (A.), PICARD (F.)	Communication	Remarques sur le paludisme dans la XVIe région. Cas autochtone à Plasmodium præcox. 	883	1917	10	Séance du 12 décembre 1917. Communications. Remarques sur le paludisme dans la XVIe région. Cas autochtone à Plasmodium praecox, par A. Lagriffoul et F. Picard	12 décembre 1917
1909	BSPE-1917-886	DE GOYON (J.), BOUVIER (J.E.)	Communication	La lutte antipaludique dans un régiment d’in- fanterie coloniale en Orient 1917.	886	1917	10	Séance du 12 décembre 1917. Communications. La lutte antipaludique dans un régiment d'infanterie coloniale en Orient, 1917, par J. de Goyon et J. E. Bouvier	12 décembre 1917
1910	BSPE-1917-890	COT(), HOVASSE	Communication	Quelques remarques sur les Anophélines de Macédoine.	890	1917	10	Séance du 12 décembre 1917. Communications. La lutte antipaludique dans un régiment d'infanterie coloniale en Orient, 1917, par J. de Goyon et J. E. Bouvier. / Quelques remarques sur les Anophélines de Macédoine, par Cot et Hovasse	12 décembre 1917
